command,needle,block_size_bytes,simd,bytes_searched,duration_secs
sequential,0x42,4096,true,137438953472,181.215035428
sequential,0x42,4096,false,137438953472,192.919139874
sequential,0x42,65536,true,137438953472,186.736123607
sequential,0x42,65536,false,137438953472,184.4094863
sequential,0x42,1048576,true,137438953472,82.047905378
sequential,0x42,1048576,false,137438953472,108.779296031
sequential,0x42,33554432,true,137438953472,83.692489217
sequential,0x42,33554432,false,137438953472,108.553769587
sequential,0x42,134217728,true,137438953472,83.969443725
sequential,0x42,134217728,false,137438953472,107.996673667